"numeroArticle","texteArticle"
"v1-1564-0","AMENDE , s. f. ( Jurisprud. ) ​ ​ imposition d’une peine pécuniaire pour un crime ou un délit, ou pour avoir intenté mal-à-propos un procès, ou interjetté un appel téméraire d’un jugement sans grief. Il y en a que les lois n’ont pas déterminées, & qui s’imposent, suivant les circonstances & la prudence du Juge ; d’autres qui sont fixées par les Ordonnances ; telles sont entr’autres celles qui sont dûes en matieres civiles, en cas d’appel, de récusation de Juges, de demande en requête civile ; lesquelles dans tous ces cas doivent être consignées d’avance par l’appellant, le récusant, ou demandeur en requête civile ; toute audience lui devant être deniée jusqu’à ce ; sauf à les lui restituer, si par l’évenement du procès, ses moyens d’appel, de récusation, ou de requête civile sont jugés admissibles & pertinens."
"v1-3538-0","AUBAIN , s. m. est un étranger qui séjourne dans le royaume sans y être naturalisé. Voyez Naturalisation . Si l’ aubain meurt en France, ses biens sont acquis au roi, si ce n’est qu’il en ait fait donation entre vifs, ou qu’il laisse des enfans nés dans le royaume. Voyez Aubaine . Les enfans d’un François qui a séjourné en pays étranger, n’y sont point aubains . Quelques peuples alliés de la France ne sont point non plus réputés aubains : tels sont les Suisses, les Savoyards, les Ecossois, les Portugais & les Avignonois ; qui sont réputés naturels & régnicoles, sans avoir besoin de lettres de naturalité. Les Anglois même sont exempts du droit d’ aubaine , au moins pour ce qui est mobilier, en vertu de l’art. du traité d’Utrecht. Un étranger qui ne séjourne en France qu’en passant, & qui ne s’y domicilie point ; comme un marchand venu à une foire, un particulier venu à la poursuite d’un procès, un ambassadeur pendant tout le tems de sa résidence, ne sont point censés aubains . Nous avons aussi un édit de , qui exempte du droit d’ aubaine tous étrangers allant & venant, ou retournant des foires de Lyon, demeurant, séjournant ou résidant en la ville de Lyon, & négociant sous la faveur & priviléges d’icelle, sans toutefois y comprendre les immeubles réels, ni les rentes constituées. Voyez Étranger . ( H ) ​ ​"
"v1-390-1","Achat , ( Jurisprud. ) ​ ​ est l’acquisition d’un effet ou mobilier ou immobilier, moyennant une somme à laquelle il a été estimé entre les parties à l’amiable, ou prisé judiciairement. Le consentement de l’acheteur est ce qui rend parfait l’achat. L’ achat & la vente ne sont qu’une même sorte de contrat considéré par rapport aux différentes parties contractantes : car il ne sauroit y avoir d’achat sans vente, ni de vente sans achat. C’est pourquoi ce contrat est appellé dans le Droit civil d’un même nom, emptio-venditio . Ce qu’on dit proverbialement qu’ achat passe loüage , signifie que le nouvel acquéreur d’une maison ou autre héritage est le maître de déposséder le locataire ou le fermier. ( H ) ​ ​"
"v1-625-0","ADOPTIF , adj. ( Jurisprudence. ) ​ ​ est la personne adoptée par une autre. Voyez Adoption . Les enfans adoptifs , chez les Romains, étoient considérés sur le même pié que les enfans ordinaires, & ils entroient dans tous les droits que la naissance donne aux enfans à l’égard de leurs peres. C’est pourquoi il falloit qu’ils fussent institués héritiers ou nommément deshérités par le pere, autrement le testament étoit nul. L’Empereur Adrien préféroit les enfans adoptifs aux enfans ordinaires, par la raison, disoit-il, que c’est le hasard qui nous donne ceux-ci, au lieu que c’est notre propre choix qui nous donne les autres. M. Menage a publié un Livre d’éloges ou de vers adressés à cet Empereur, intitulé Liber adoptivus , auquel il a joint quelques autres ouvrages. Heinsius & Furstemberg de Munster ont aussi publié des Livres adoptifs . ( H ) ​ ​"
"v1-667-1","Adulte , ( Jurisprud. ) ​ ​ est une personne arrivée à l’âge de discrétion, ou à l’âge d’adolescence, & qui est assez grande & assez âgée pour avoir des sentimens & du discernement. Voyez Age & Puberté . Ce mot est formé du participe du verbe latin adolescere , croître. C’est comme qui diroit crû. Voyez Adolescence . ( H ) ​ ​ Il y a bien de la différence entre les proportions d’un enfant & celles d’un adulte . Un homme fait comme un fœtus, seroit un monstre, & n’auroit presque pas figure humaine, comme l’a observé M. Dodart. Voyez Fœtus & Embryon . Les Anabaptistes ne donnent le baptême qu’aux adultes. Voyez Bapteme & Anabaptiste ."
"v1-784-1","Age , en terme de Jurisprudence ​ ​ , se dit de certains périodes de la vie auxquels un citoyen devient habile à tels ou tels actes, à posséder telles ou telles dignités, tels ou tels emplois : mais ce qu’on appelle purement & simplement en Droit être en âge , c’est être majeur. Voyez Majeur & Majorité . Dans la coûtume de Paris on est en âge , pour tester de ses meubles & acquêts, à vingt ans : mais on ne peut disposer de ses immeubles qu’à vingt-cinq. On ne peut être reçû Conseiller ès Parlemens & Présidiaux, Maître, Correcteur ou Auditeur des Comptes, Avocat ou Procureur du Roi, Bailli, Sénéchal, Vicomte, Prevôt, Lieutenant Général, Civil, Criminel, ou Particulier ès Siéges qui ne ressortissent pas nûment au Parlement, ni Avocat ou Procureur du Roi èsdits Siéges, avant l’âge de vingt-sept ans accomplis ; ni Avocat ou Procureur Général, Bailli, Sénéchal, Lieutenant Général & Particulier, Civil ou Criminel, ou Président d’un Présidial, qu’on n’ait atteint l’âge de trente ans ; ni Maître des Requêtes de l’Hôtel avant trente-sept ans ; ni Président ès Cours Souveraines avant quarante : mais le Roi, quand il le juge à propos, accorde des dispenses, moyennant finance, à l’effet de rendre habiles à ces charges ceux qui n’ont pas atteint l’âge prescrit par les Edits. Voyez Dispense . Et quant aux dignités Ecclésiastiques, on ne peut être promû à l’Episcopat avant vingt-sept ans ; à une Abbaye, aux Dignités, Personats, Cures & Prieurés claustraux, ayant charge d’ames, avant vingt-cinq ans : si cependant la Cure attachée au Prieuré claustral est exercée par un Vicaire perpétuel, vingt ans suffisent. On peut même en France posséder des Prieurés électifs à charge d’ames à vingt-trois ans, & ceux qui n’ont point charge d’ames, à vingt-deux commencés ; & c’est de cette maniere qu’il faut entendre l’âge requis pour tous les Bénéfices que nous venons de dire ; car c’est une maxime en Droit canonique, que l’année commencée se compte comme si elle étoit accomplie. Pour les Bénéfices simples ou Bénéfices à simple tonsure, tels que les Chapelles ou Chapellenies, les Prieurés qu’on appelle ruraux , & qui n’ont rien qui tienne de ce qu’on appelle rectorerie , on les peut posséder à sept ans, mais accomplis. Il en faut quatorze aussi complets, pour posséder les Bénéfices simples, qui sont des especes de rectoreries, & pour les Canonicats des Cathédrales & des Métropoles, si ce n’est qu’ils vaquent en régale ; car alors sept ans suffisent. Mais le droit commun est qu’on ne puisse être pourvû d’aucun Bénéfice, même simple, avant quatorze ans."
"v1-803-0","AGGRAVATION , s. f. ( Jurispr. ) ​ ​ dans le sens de son verbe d’où il est formé, devroit signifier l’action de rendre une faute plus criminelle, ou d’en augmenter le châtiment ; car c’est-là la signification d’ aggraver : mais il n’est pas François en ce sens. Aggravation ou aggrave est un terme de Droit canonique par où l’on entend une censure ecclésiastique, une menace d’excommunication après trois monitions faites sans fruit. Voyez Censure . Après l’ aggravation on procede à la réaggravation ou réaggrave, qui est l’excommunication définitive : le reste jusqu’alors n’avoit été que comminatoire. V. Excommunication & Réaggravation , &c. L’ aggravation & réaggravation ne peuvent être ordonnées sans la permission du Juge laïque."
"v1-915-4","Aide , en terme de Jurisprudence féodale ​ ​ , sont des secours auxquels les vassaux, soit gentilshommes ou roturiers, sont tenus envers leur Seigneur dans quelques occasions particulieres, comme lorsqu’il marie sa fille ou fait recevoir son fils chevalier, ou qu’il est prisonnier de guerre ; ce qui fait trois sortes d’ aides, l’aide de mariage, l’aide de chevalerie , & l’aide de rançon . On appelle d’un nom commun ces trois sortes d’aides, aide-chevel, quia capitali domino debentur . ​ ​ L’ aide de rançon s’appelloit aussi aides loyaux , parce qu’elle étoit dûe indispensablement. On appella aussi aides loyaux , sous Louis VII. une contribution qui fut imposée sur tous les sujets sans distinction, pour le voyage d’outre-mer ou la croisade ; & on appelloit ainsi en général toutes celles qui étoient dûes en vertu d’une loi. On appelloit au contraire aides libres ou gracieuses , celles qui étoient offertes volontairement par les sujets ou vassaux. L’aide chevel est le double des devoirs que le sujet doit ordinairement chaque année, pourvû qu’ils n’excedent pas ving-cinq sous. Si le sujet ne doit point de devoirs, il payera seulement vingt-cinq sous. Le Seigneur ne peut exiger cette aide qu’une fois en sa vie pour chaque cas. Aides raisonnables étoient celles que les vassaux étoient obligés de fournir au Seigneur dans de certaines nécessités imprévûes, & pour raison desquelles on les taxoit au prorata de leurs facultés ; telles étoient par exemple, en particulier, celles qu’on appelloit aides de l’ost & de chevauchée , qui étoient des subsides dûs au Seigneur pour l’aider à subvenir aux frais d’une guerre, comme qui diroit de nos jours, le dixieme denier du revenu des biens . Aide-relief est un droit dû en certaines Provinces par les vassaux aux héritiers de leur Seigneur immédiat, pour lui fournir la somme dont ils ont besoin pour payer le relief du fief qui leur échet par la mort de leur parent. On trouve aussi dans l’Histoire ecclésiastique des aides levées par des Evêques dans des occasions qui les obligeoient à des dépenses extraordinaires, comme lors de leur sacre ou joyeux avenement, lorsqu’ils reçoivent les Rois chez eux ; lorsqu’ils partoient pour un Concile, ou qu’ils alloient à la cour du Pape. Ces aides s’appelloient autrement coûtumes episcopales ou synodales , ou denier de Pâque . Les Archidiacres en levoient aussi chacun dans leur Archidiaconé. Il est encore d’usage & d’obligation de leur payer un droit lorsqu’ils font leur visite, droit qui leur est dû par toutes les Eglises paroissiales, même celles qui sont desservies par des Religieux."
"v2-168-0","BAILLIAGE , s. m. ( Jurisp. ) ​ ​ est tout le territoire où s’étend la jurisdiction d’un bailli. Un bailliage principal en contient pour l’ordinaire plusieurs autres, lesquels connoissent des mêmes matieres, & ressortissent à ce bailliage principal, lequel connoît exclusivement aux autres en dernier ressort des cas présidiaux : car ces bailliages supérieurs équivalent pour l’autorité aux présidiaux & aux sénéchaussées, dont ils ne différent que par le nom. Voyez Présidial & Bailli . On appelle aussi bailliage l’office même du bailli. On donne aussi le même nom au lieu où il tient sa séance. ( H ) ​ ​"
"v2-284-1","Bans de mariage , sont des avertissemens solennels de promesses de futurs mariages, donnés dans l’église paroissiale avant la célébration des mariages, afin que s’il se trouve quelque opposition à faire contre l’une ou l’autre des parties, comme pour raison d’engagemens précédens, ou autre cause, il y ait lieu de les faire. La publication des bans se fait à dessein de prévenir les mariages clandestins. Par les lois de l’Eglise, les bans doivent être publiés trois fois à trois jours différens aux lieux où les parties demeurent, à peine de nullité de mariage. Il y a peine d’excommunication contre ceux qui connoissant des empêchemens, ne les déclarent point. Un curé ne sauroit être contraint à les publier lorsqu’il connoit dans l’un ou l’autre de ceux qui se présentent au mariage quelque incapacité ou empêchement. Si les contractans sont majeurs, le défaut de publication de bans n’emporte pas tout seul la nullité de mariage."
