"numeroArticle","texteArticle"
"v1-1108-0","ALCANNA , ( Medecine ) ​ ​ alcanna offic. Ligustrum indicum, seu alcanna manithondi . Herm. Mus. Zeil. . . C’est le kenna des Turcs & des Maures ; ses feuilles réduites en poudre jaune, servent de cosmétique aux naturels du pays, qui en font une espece de pâte avec du suc de limon ; les hommes en teignent leur barbe, & les femmes leurs ongles. Elle est bonne pour exciter les regles, & pour les maladies hystériques ; aussi les Orientaux s’en servent-ils pour causer l’avortement, & pour chasser le fœtus mort dans la matrice. ( N ) ​ ​"
"v1-1171-0","ALEXITERES , adj. pris sub. ( Medecine. ) ​ ​ Ce terme dans Hippocrate ne signifie rien plus que remedes & secours . Les Modernes ont appliqué le mot alexiteres à des remedes contre la morsure des animaux venimeux, & même aux amulettes & aux charmes ; en un mot, à tout ce que l’on porte sur soi, comme un préservatif contre les poisons, les enchantemens & les maléfices, & leurs suites fâcheuses. Il n’y a pas de différence entre les alexiteres & les alexipharmaques . Eau de lait Alexitere selon la Pharmacopée de Londres . Prenez de reine des prés, de chardon beni, de galanga, six poignées de chacun ; de menthe, d’absynthe, cinq poignées de chacune ; de rue, trois poignées ; d’angélique, deux poignées : mettez par-dessus, après que vous aurez broyé le tout, environ douze pintes de lait, & le distillez au bain marie. Trochisques Alexiteres de la même Pharmacopée . Prenez de la racine de zédoaire, de la racine de serpentaire de virginie, de la poudre de pattes d’écrevisses, de chaque un gros & demi ; de l’écorce extérieure de citron séchée, de semence d’angélique, de chacun un gros ; du bol d’Arménie préparé, un demi gros ; de sucre candi, le poids du tout : réduisez tous ces ingrédiens en une poudre fine ; ensuite faites-en une pâte propre pour les trochisques avec une quantité suffisante de mucilage de gomme adraganth préparée avec de l’eau thériacale. L’eau de lait alexitere & les trochisques sont de bons altérans propres à fortifier, stimuler, ranimer les fibres & réveiller les esprits. Les trochisques sont encore astringens, absorbans & carminatifs : la dose de l’eau & des trochisques est fort arbitraire. ( N ) ​ ​"
"v1-1579-1","Amethyste , ( Medecine. ) ​ ​ L’amethyste , selon quelques-uns, est propre à empêcher l’ivresse, étant portée au doigt, ou mise en poudre dans la bouche ; on prétend qu’elle est bonne pour arrêter le cours de ventre, & pour absorber les acides qui sont en trop grande quantité dans l’estomac, comme les autres substances alkalines. Selon M. Geoffroy, les propriétés de la teinture tirée de cette pierre précieuse, ne sont pas plus certaines pour leur efficacité, que les vertus prétendues dont on vient de parler. ( N ) ​ ​"
"v1-1603-0","AMINÉE , ( Med. ) ​ ​ Le vin d’ Aminée étoit ou celui de Falerne, ou le produit d’une espece particuliere de raisin qu’on avoit transplantée en Italie. Galien parle du vin d’ Aminée qui se faisoit dans le Royaume de Naples, dans la Sicile & dans la Toscane. Selon Columelle, le vin aminéen étoit le plus ancien & le premier dont les Romains eussent fait usage, & le produit de vignes transplantées du pays des Aminéens dans la Thessalie. Ce vin étoit austere, rude & acide lorsqu’il étoit nouveau : mais il s’amollissoit en vieillissant, & acquéroit une force & une vigueur qui étoit beaucoup augmentée par la quantité d’esprits qu’il contenoit : ce qui le rendoit propre à fortifier l’estomac. ( N ) ​ ​"
"v1-1616-1","Ammodyte ​ ​ , ( Medecine. ) ​ ​ Lorsque la morsure de l’ ammodyte ne cause pas une mort prompte, le sang sort de la plaie ; la partie mordue s’enfle, il survient aussitôt un écoulement de ​ sanie ​ ​ , qui est suivi d’une pesanteur de tête & de défaillance. On doit dans un pareil cas recourir d’abord aux remedes ordinaires, aux ventouses, aux scarifications de la partie autour de la plaie, à la ligature & à l’ouverture de la plaie avec le bistouri : les meilleurs remedes sont la menthe prise dans l’hydromel, la ​ thériaque ​ ​ appliquée sur la plaie, les cataplasmes propres à la cure des ulceres malins, &c. Aétius, Tetrab. IV. Serm. I. ​ ​ ​ ( N ) ​ ​"
"v1-1787-0","ANALEPTIQUES , adj. ( Medecine. ) ​ ​ remedes destinés à relever & à rétablir les forces diminuées & abattues. Ce sont des médicamens de la classe de ceux que l’on nomme fortifians & cordiaux . Ces remedes agissent par un principe subtil, volatil, huileux, & d’une odeur très-agréable ; il s’insinue dans les petits vaisseaux absorbans des nerfs & des membranes. Leur vertu est fort limitée, car ils n’operent qu’après qu’on a détruit les causes morbifiques, & leur effet n’est point tel que le vulgaire se l’imagine, de ranimer ou de reproduire positivement les forces abattues & éteintes. Ces remedes ne sont salutaires qu’autant qu’il se fait une conversion convenable des alimens solides & liquides en sang & en liqueurs bien conditionnées, pour former un suc nourricier propre à réparer les pertes occasionnées par les mouvemens du corps. On ne doit point employer ces remedes dans les maladies aiguës, dans la chaleur & l’effervescence des humeurs, comme dans la fievre, ou lorsque la masse du sang & des liqueurs est remplie d’impuretés : mais on peut s’en servir utilement dans le déclin des maladies ; dans la convalescence, lorsque les passions de l’ame & de longues veilles, les travaux & fatigues de l’esprit & du corps, ou de grandes hémorrhagies, ont épuisé les forces. Il ne faut pas non plus donner ces remedes indifféremment : on doit user d’un grand ménagement dans leur administration, parce qu’ils passent promptement dans le sang, & qu’ils en augmentent la quantité. Les remedes analeptiques sont parmi les vegétaux, les fleurs de rose, de citron, d’orange, de jasmin, de muguet ; les feuilles de mélisse, d’origan, de marum ; les fruits tels que les citrons, les oranges ; les écorces de canelle, de cascarille. Parmi les animaux ; les sucs tirés des animaux, les gelées, les consommés. La décoction ou l’infusion de chocolat dans l’eau, le lait, l’eau distillée du pain avec les écorces de citron, le bon vin vieux de Bourgogne, le véritable vin d’Espagne, sont des remedes assurés pour réparer peu à peu les forces des convalescens. Toutes les eaux spiritueuses données par intervalle & à petite dose, sont bonnes dans le cas où il faut ranimer les forces ou épuisées ou abattues. La thériaque, les confections d’hyacinthe & d’alkermès sont d’excellens moyens pour réveiller le ressort des fibres tombées dans l’atonie & le relâchement. ( N ) ​ ​"
"v1-1950-4","Angelique , ( Medecine. ) ​ ​ des quatre especes d’ angélique énoncées par Dale, celle de Boheme est la meilleure. C’est l’ angelica officin. angelica sativa , C. B. imperatoria sativa , Tourn. Inst . . La racine de cette plante est grosse, noirâtre en-dehors, blanche en-dedans ; toute la plante a une odeur aromatique tirant sur le musc : on la cultive aussi dans ce pays-ci. Son nom lui vient des grandes vertus qu’on lui a remarquées : on la choisit grosse, brune, entiere, non vermolue, d’une odeur suave tirant sur l’amer ; son analyse donne une huile exaltée, & beaucoup de sel volatil. Elle est cordiale, stomacale, céphalique, apéritive, sudorifique, vulnéraire : elle résiste au venin ; on l’emploie pour la peste, pour les fievres malignes, pour la morsure d’un chien enragé, pour le scorbut. C’est un grand diaphorétique ; on l’emploie dans les maladies de la matrice, aussi bien que dans les affections hystériques : elle est diurétique, & bonne pour exciter les lochies. La racine, la tige, les feuilles, & la graine de la plante, sont d’usage : mais la racine l’emporte en vertus sur les autres parties. On fait de l’ angélique nombre de préparations & de compositions. La Pharmacopée de Paris emploie l’ angélique de Boheme de différentes façons ; elle fait une eau distillée des feuilles & des fleurs ; elle en retire aussi des semences & de la racine desséchée : elle fait une conserve & un extrait de sa racine ; elle fait entrer sa racine dans les eaux composées thériacale, anti-épileptique, prophilactique, de mélisse composée, générale, impériale, dans les deux especes d’orviétan dont elle donne la composition dans le baume oppdeltoch, dans celui du Commandeur. Elle emploie la racine, les feuilles, & les semences dans l’emplâtre diabotanum, dans l’esprit carminatif de Sylvius ; les feuilles seules ont place dans l’eau de lait alexitaire ; & l’extrait est un des ingrédiens de la thériaque céleste. L’eau distillée d’ angélique est un diaphorétique estimé dans la goutte ; & l’esprit tiré de la racine au moyen de l’esprit-de-vin est chargé des parties huileuses de cette racine ; & pris à la dose d’une demi-once, il est bon contre les catarrhes. L’extrait de cette racine fait avec l’esprit-de-vin tartarisé, se mêle dans les pilules béchiques & dans les eaux spiritueuses ; on en peut donner depuis un scrupule jusqu’à une demi-dragme : il agit comme aromatique, &c. Le baume d’ angélique de Sennert est ainsi prescrit dans la Pharmacopée d’Ausbourg : Prenez d’extrait d’ angélique une once, de manne en larme deux gros ; mettez-les sur un petit feu, y ajoûtant une dragme & demie d’huile d’ angélique . Ce baume a les vertus cordiales & alexipharmaques qu’on attribue à l’ angélique . Les peuples de l’Islande & de la Laponie se nour- ​ ​ rissent des tiges d’ angélique , sans en être incommodés, au rapport de Bauhin & de Linnæus. ( N ) ​ ​ * ​ ​ Prenez demi-once d’angélique , autant de canelle, le quart d’une once de girofle, autant de mastic, de coriandre, & d’anis vert, demi-once de bois de cedre ; concassez le tout dans un mortier ; mettez ensuite infuser dans une quantité suffisante d’eau-de-vie, pendant vingt-quatre heures ; distillez au bain-marie ; ayez de l’eau-de-vie nouvelle ; mettez sur cette eau-de-vie l’essence obtenue par la distillation ; ajoûtez de l’ambre, du musc & de la civette, & vous aurez l’eau d’ angélique . Otez les feuilles ; pelez les tiges que vous choisirez fraîches & grosses ; coupez-les d’une longueur convenable ; jettez-les dans l’eau fraîche ; passez-les de cette eau dans une autre que vous ferez bouillir à gros bouillons : c’est ainsi que l’ angélique se blanchit ; on s’apperçoit que les cardons sont assez blancs, quand ils s’écrasent entre les doigts. Tirez-les de cette eau ; passez-les à l’eau fraîche ; laissez-les égouter : mettez-les bien égoutés dans une poesle de sucre clarifié ; qu’ils y prennent plusieurs bouillons : écumez-les pendant qu’ils bouillent ; & quand ils auront assez bouilli, & qu’ils auront été assez écumés, mettez le tout dans une terrine. Le lendemain, séparez ce sirop ; faites-le cuire, puis le répandez sur les cardons : quelques jours après, séparez encore le sirop que les cardons auront déposé ; faites-le cuire à la petite perle, & le répandez derechef sur les cardons. Séparez une troisieme fois le restant du sirop ; faites-le cuire à la grosse perle ; ajoûtez-y du sucre ; déposez-y vos cardons, & faites-les bouillir : cela fait, tirez-les ; étendez-les sur des ardoises ; saupoudrez-les de beaucoup de sucre ; & faites-les sécher à l’étuve."
"v1-2075-0","ANOREXIE , s. f. ( Medecine. ) ​ ​ aversion pour les alimens, occasionnée ou par un dérangement d’estomac, ou par une surabondance d’humeurs. Le relâchement des fibres de l’estomac dans les pertes, dans la grossesse commençante, dans la suppression des regles, dans les pâles couleurs, produit l’ anorexie & le dégoût ; la tension de l’estomac, sa phlogose dans la fievre ardente, dans l’inflam- ​ mation de ce viscere, dans l’affection hypochondriaque, occasionnent le même symptôme. La surabondance des humeurs, la salure épaisse & visqueuse, alkaline & empyreumatique, qui s’attache aux parois de ce viscere, sont cause de l’ anorexie . Les remedes de l’ anorexie dépendent de sa cause : en la détruisant on parvient à la cure de ce symptome. ( N ) ​ ​"
"v1-2388-0","APOPLEXIE , s. f. ( Medec. ) ​ ​ maladie dans la- ​ ​ quelle il se fait subitement une suspension de tous les mouvemens qui dépendent de la volonté & de l’action des sens intérieurs & extérieurs, sans que celle des poumons ni la circulation du sang soient interrompues, la respiration & le battement des arteres étant comme dans l’état naturel, & souvent même plus forts ; d’où l’on peut conclurre que les nerfs qui prennent leur origine dans le cerveau sont les seuls affectés, sans que les fonctions de ceux qui partent du cervelet soient altérées dans le commencement ; ce qui donne à cette maladie la ressemblance d’un profond sommeil, qui est cependant accompagné d’un bruit provenant de la poitrine auquel les Medecins ont donné le nom de sterteur . Les signes avant-coureurs de cette maladie sont, selon Duret, des douleurs de tête vagues, un vertige ténébreux, une lenteur dans la parole, & le froid des extrémités. Ces signes ne se manifestent pas toûjours ; car le malade est ordinairement frappé avec tant d’impétuosité, qu’il n’a pas occasion de prévoir ni le tems de prévenir une attaque d’ apoplexie . On doit regarder comme causes de cette maladie, tout ce qui peut arrêter ou diminuer le cours des esprits animaux dans les organes des sens & des mouvemens dépendans de la volonté, tels qu’un épaississement du sang & de la lymphe assez considérable pour qu’ils ne puissent circuler dans les vaisseaux du cerveau ; un épanchement de quelque matiere qui comprimant les vaisseaux artériels, nerveux & lymphatiques, arrêtent la circulation du fluide qu’ils contiennent ; enfin tout ce qui peut s’opposer au retour du sang des vaisseaux du cerveau vers le cœur. Ces causes ne concourent pas toutes ensemble à l’ apoplexie , ce qui a donné lieu à la distinction que l’on a faite de cette maladie en séreuse & en sanguine , Boerhaave ajoûte la polypeuse . On tire le pronostic de l’ apoplexie de la respiration du malade : lorsqu’elle est laborieuse, la maladie est mortelle ; quand elle est aisée, ou que les remedes la rendent telle, il reste encore quelque espérance de sauver le malade. La cure de l’ apoplexie est différente, selon les causes qui la produisent. Les anciens Medecins d’accord avec les modernes sur la nécessité de la saignée dans cette maladie, lorsqu’elle est produite par une cause chaude, ordonnent de la réitérer souvent dans ce cas, avec la précaution de mettre quelques intervalles entr’elles, selon Hippocrate & Celse ; lorsqu’elles ne sont pas avantageuses, elles deviennent très-nuisibles aux malades. Hollier est d’avis de faire tourmenter beaucoup le malade attaqué d’ apoplexie séreuse, de le faire secoüer, & de lui faire frotter toutes les parties du corps ; il prétend que l’on empêche par ce moyen le sang de se congeler, surtout si l’on a le soin de frotter le cou du malade à l’endroit où sont les veines jugulaires, & les arteres carotides, ce qu’il regarde comme absolument nécessaire pour passer avec succès à la saignée. Duret n’admet la méthode de secoüer le malade, que lorsque l’ apoplexie est venue peu-à-peu, & que l’on est sûr qu’il n’y a qu’une légere obstruction, prétendant que dans une apoplexie subite, les secousses augmentent l’oppression & accélerent la mort du malade. Le reste du traitement consiste à procurer par tous les moyens possibles des évacuations : ainsi les émétiques sont les remedes appropriés dans ce cas, tant pour évacuer les matieres amassées dans le ventricule, que pour donner au genre nerveux une secousse capable de rendre aux esprits animaux la facilité ​ de parcourir les filets nerveux qui leur sont destinés. On joindra à l’usage des émétiques celui des clysteres acres & purgatifs, afin de rappeller le sentiment dans les intestins, par l’irritation qu’ils y occasionnent. Malgré tous ces secours, l’ apoplexie qui ne s’est pas terminée au septieme jour par la mort du malade, dégénere souvent en hémiplégie ; c’est-à-dire, en paralysie de quelqu’un des membres, ou en paraplégie, qui est une paralysie de tous, maladie ordinairement incurable. Voyez Hémiplégie & Paraplégie . ( L ) ​ ​"
"v1-284-2","Accès , en Medecine ​ ​ , se dit du retour périodique de certaines maladies qui laissent de tems en tems des intervalles de relâche au malade. Voyez Périodique . Ainsi l’on dit un accès de goute, mais plus spécialement un accès de fievre, d’épilepsie, de folie : on dit aussi un accès prophétique. On confond bien souvent accès avec paroxysme , cependant ce sont deux choses différentes ; l’ accès n’étant proprement que le commencement ou la premiere attaque de la maladie, au lieu que le paroxysme en est le plus fort & le plus haut degré. Voyez Paroxysme . ( N ) ​ ​"
